customer_id,gender,age,estimated_salary,credit_score,products_number,tenure,credit_card,active_member,attrition,balance,country
15647311,Female,41,112542.58,608,1,1,0,1,0,83807.86,Spain
15619304,Female,42,113931.57,502,3,8,1,0,1,159660.80,France
15701354,Female,39,93826.63,699,2,1,0,0,0,0.00,France
15737888,Female,43,79084.10,850,1,2,1,1,0,125510.82,Spain
15574012,Male,44,149756.71,645,2,8,1,0,1,113755.78,Spain
15592531,Male,50,10062.80,822,2,7,1,1,0,0.00,France
15656148,Female,29,119346.88,376,4,4,1,0,1,115046.74,Germany
15792365,Male,44,74940.50,501,2,4,0,1,0,142051.07,France
15592389,Male,27,71725.73,684,1,2,1,1,0,134603.88,France
15767821,Male,31,80181.12,528,2,6,0,0,0,102016.72,France
15737173,Male,24,76390.01,497,2,3,1,0,0,0.00,Spain
15632264,Female,34,26260.98,476,2,10,1,0,0,0.00,France
15691483,Female,25,190857.79,549,2,5,0,0,0,0.00,France
15600882,Female,35,65951.65,635,2,7,1,1,0,0.00,Spain
15643966,Male,45,64327.26,616,2,3,0,1,0,143129.41,Germany
15737452,Male,58,5097.67,653,1,1,1,0,1,132602.88,Germany
15788218,Female,24,14406.41,549,2,9,1,1,0,0.00,Spain
15661507,Male,45,158684.81,587,1,6,0,0,0,0.00,Spain
15568982,Female,24,54724.03,726,2,6,1,1,0,0.00,France
15577657,Male,41,170886.17,732,2,8,1,1,0,0.00,France
15597945,Female,32,138555.46,636,2,8,1,0,0,0.00,Spain
15699309,Female,38,118913.53,510,1,4,1,0,1,0.00,Spain
15725737,Male,46,8487.75,669,2,3,0,1,0,0.00,France
15625047,Female,38,187616.16,846,1,5,1,1,0,0.00,France
15738191,Male,25,124508.29,577,2,3,0,1,0,0.00,France
15736816,Male,36,170041.95,756,1,2,1,1,0,136815.64,Germany
15700772,Male,44,38433.35,571,2,9,0,0,0,0.00,France
15728693,Female,43,100187.43,574,1,3,1,1,0,141349.43,Germany
15656300,Male,29,53483.21,411,2,0,1,1,0,59697.17,France
15589475,Female,39,140469.38,591,3,3,1,0,1,0.00,Spain
15706552,Male,36,156731.91,533,1,7,0,1,0,85311.70,France
15750181,Male,41,81898.81,553,2,9,0,0,0,110112.54,Germany
15659428,Female,42,34410.55,520,2,6,1,1,0,0.00,Spain
15732963,Female,29,142033.07,722,2,9,1,1,0,0.00,Spain
15794171,Female,45,27822.99,475,1,0,1,0,1,134264.04,France
15788448,Male,31,114066.77,490,1,3,0,1,0,145260.23,Spain
15729599,Male,33,98453.45,804,1,7,0,1,0,76548.60,Spain
15717426,Male,36,40812.90,850,1,7,1,1,0,0.00,France
15585768,Male,41,178074.04,582,2,6,0,1,0,70349.48,Germany
15619360,Male,40,70154.22,472,1,4,1,0,0,0.00,Spain
15738148,Female,51,181297.65,465,1,8,0,0,1,122522.32,France
15687946,Female,61,94153.83,556,1,2,1,1,0,117419.35,France
15755196,Female,49,194365.76,834,1,2,0,0,1,131394.56,France
15684171,Female,61,158338.39,660,1,5,1,1,0,155931.11,Spain
15754849,Female,32,126517.46,776,2,4,1,1,0,109421.13,Germany
15602280,Female,27,119708.21,829,1,9,1,1,1,112045.67,Germany
15771573,Female,39,117622.80,637,1,9,1,1,1,137843.80,Germany
15766205,Male,38,90878.13,550,1,2,0,1,0,103391.38,Germany
15771873,Female,37,194099.12,776,2,2,1,0,0,103769.22,Germany
15616550,Male,44,198059.16,698,2,10,1,0,0,116363.37,Germany
15768193,Male,36,86424.57,585,2,5,0,0,0,146050.97,Germany
15683553,Female,33,116978.19,788,2,5,0,0,0,0.00,France
15702298,Male,41,164040.94,655,1,8,0,0,1,125561.97,Germany
15569590,Male,42,40014.76,601,1,1,1,0,1,98495.72,Germany
15760861,Male,43,113410.49,619,1,1,1,1,0,125211.92,France
15630053,Male,45,87107.57,656,1,5,1,0,0,127864.40,France
15647091,Male,19,45613.75,725,1,0,0,0,0,75888.20,Germany
15623944,Female,66,1643.11,511,1,4,1,0,1,0.00,Spain
15804771,Male,51,46775.28,614,1,4,1,1,0,40685.92,France
15651280,Male,35,84509.57,742,1,5,0,0,0,136857.00,Germany
15773469,Female,27,126494.82,687,2,9,0,0,0,152328.88,Germany
15702014,Male,33,178798.13,555,2,1,0,0,0,56084.69,Spain
15751208,Male,56,99398.36,684,1,8,1,1,0,78707.16,Spain
15592461,Male,26,92840.67,603,1,4,1,1,0,109166.37,Germany
15789484,Female,36,27758.36,751,2,6,1,1,0,169831.46,Germany
15696061,Female,34,110431.51,581,1,1,1,0,0,101633.04,Germany
15641582,Male,43,196673.28,735,2,10,1,1,0,123180.01,Germany
15638424,Female,35,113656.85,661,2,5,0,1,0,150725.53,Germany
15755648,Female,21,18203.00,675,1,8,1,0,0,98373.26,France
15703793,Male,58,28373.86,738,4,2,1,0,1,133745.44,Germany
15620344,Male,29,33953.87,813,1,6,1,0,0,0.00,France
15812518,Female,37,44203.55,657,1,0,0,1,0,163607.18,Spain
15779052,Female,25,58426.81,604,2,5,1,1,0,157780.84,Germany
15770811,Male,36,145562.40,519,2,9,0,1,0,0.00,France
15780961,Female,21,22388.00,735,2,1,1,0,0,178718.19,France
15614049,Male,55,139161.64,664,2,8,1,1,0,0.00,France
15662085,Female,32,148210.64,678,1,9,1,1,0,0.00,France
15575185,Male,33,194239.63,757,1,5,0,1,0,77253.22,Spain
15803136,Female,41,98301.61,416,2,10,1,0,0,122189.66,Germany
15706021,Female,34,171413.66,665,2,1,0,0,0,96645.54,France
15663706,Female,32,136458.19,777,1,2,1,0,1,0.00,France
15641732,Female,36,26019.59,543,2,3,0,0,0,0.00,France
15701164,Female,34,159235.29,506,1,4,1,1,0,90307.62,France
15738751,Female,46,1907.66,493,2,4,1,0,0,0.00,France
15805254,Female,75,114675.75,652,2,10,1,1,0,0.00,Spain
15762418,Male,22,128643.35,750,1,3,1,0,1,121681.82,Spain
15625759,Male,30,151869.35,729,2,9,1,0,0,0.00,France
15622897,Female,46,93251.42,646,3,4,1,0,1,0.00,France
15767954,Female,28,156791.36,635,2,3,1,1,0,81623.67,Germany
15757535,Female,44,174205.22,647,3,5,1,1,1,0.00,Spain
15731511,Male,45,147132.46,808,2,7,1,0,0,118626.55,France
15809248,Female,36,109614.57,524,2,10,1,0,0,0.00,France
15640635,Male,29,172290.61,769,2,8,1,1,0,0.00,France
15676966,Male,42,85982.47,730,2,4,0,1,0,0.00,Spain
15699461,Male,35,121277.78,515,1,10,0,1,0,176273.95,Spain
15738721,Male,41,64595.25,773,1,9,0,1,0,102827.44,Spain
15693683,Male,29,197276.13,814,2,8,1,1,0,97086.40,Germany
15604348,Male,22,99645.04,710,2,8,0,0,0,0.00,Spain
15633059,Male,34,6534.18,413,2,9,0,0,0,0.00,France
15808582,Female,40,161848.03,665,1,6,1,1,0,0.00,France
15743192,Female,44,167162.43,623,2,6,0,0,0,0.00,France
15580146,Male,31,41970.72,738,1,9,1,0,0,82674.15,France
15776605,Male,36,60536.56,528,2,7,1,0,0,0.00,Spain
15804919,Female,65,177655.68,670,1,1,1,1,1,0.00,Spain
15613854,Female,46,30984.59,622,2,4,1,1,1,107073.27,Spain
15599195,Male,32,10054.53,582,1,1,1,1,0,88938.62,Germany
15812878,Female,36,36976.52,785,1,2,0,1,0,99806.85,Germany
15602312,Male,33,71862.79,605,1,5,0,0,0,150092.80,Spain
15744689,Male,35,99449.86,479,1,9,1,0,1,92833.89,Germany
15803526,Male,30,63082.88,685,1,3,0,1,0,90536.81,Germany
15665790,Male,39,27231.26,538,2,7,1,0,0,108055.10,Germany
15715951,Male,42,86797.41,562,1,2,0,0,0,100238.35,France
15591100,Male,36,22994.32,675,1,9,0,1,0,106190.55,Spain
15609618,Male,28,101300.94,721,2,9,0,1,1,154475.54,Germany
15675522,Female,30,74169.13,628,2,9,1,1,0,132351.29,Germany
15705512,Female,37,115638.29,668,1,6,1,0,0,167864.40,Germany
15698028,Female,41,31766.30,506,2,1,1,0,0,0.00,France
15661670,Female,31,199725.39,524,1,8,1,0,1,107818.63,Germany
15600781,Male,34,120834.48,699,2,4,1,0,0,185173.81,Germany
15682472,Male,34,38131.77,828,2,8,0,0,0,129433.34,France
15580203,Male,39,100130.95,674,1,6,0,0,0,120193.42,Spain
15690673,Female,39,141069.88,656,2,6,1,0,0,0.00,France
15760085,Female,48,198129.36,684,1,10,1,1,0,126384.42,Germany
15779659,Female,28,183646.41,625,1,3,0,0,0,0.00,France
15627360,Male,42,110265.24,432,1,9,1,0,1,152603.45,France
15671137,Female,52,8636.05,549,1,1,0,1,1,0.00,France
15782688,Male,56,46824.08,625,1,0,1,0,1,148507.24,Germany
15575492,Female,41,171378.77,828,2,7,1,0,0,0.00,France
15591607,Male,24,167256.35,770,1,9,1,0,0,101827.07,France
15740404,Female,34,124226.16,758,2,3,1,1,0,0.00,France
15718369,Female,33,114935.21,795,1,9,1,1,0,130862.43,Germany
15677871,Male,38,35608.88,687,1,9,1,1,0,122570.87,France
15642004,Male,25,16459.37,686,2,1,0,1,0,0.00,France
15712543,Male,39,124411.08,789,2,7,1,1,0,124828.46,Germany
15584518,Female,50,34941.23,589,2,5,1,1,0,144895.05,Germany
15802381,Female,34,167784.28,461,1,5,0,1,0,63663.93,Germany
15610156,Male,40,93165.34,637,1,2,0,1,0,133463.10,France
15594408,Female,48,75161.25,584,1,2,1,0,1,213146.20,Spain
15640905,Female,35,8590.83,579,2,1,0,1,1,129490.36,Spain
15698932,Male,44,189543.90,756,1,10,1,0,0,137452.09,Germany
15724944,Male,34,180427.24,663,2,7,1,1,0,0.00,France
15628145,Female,43,193318.33,682,1,5,1,1,0,125851.93,France
15713483,Male,52,159123.82,793,1,2,1,0,1,0.00,Spain
15612350,Female,31,126213.84,691,1,5,1,0,1,40915.55,France
15800703,Female,21,54141.50,485,1,5,1,1,0,113157.22,Spain
15705707,Female,29,141075.51,635,2,8,1,0,0,138296.94,Spain
